noise_level,bit_accuracy_mean,bit_accuracy_std,hamming_distance_mean,hamming_distance_std,convergence_steps_mean,convergence_steps_std,energy_mean,accuracy_mean
0,99.48,2.256014184352572,0.52,2.256014184352572,1.92,0.5599999999999999,-5986.16,100.0
5,99.08,3.0254916955761098,0.92,3.025491695576109,2.18,0.7124605252222751,-5996.24,100.0
10,98.3,4.011234224026316,1.7,4.011234224026316,2.3,0.6403124237432849,-6010.36,100.0
15,98.0,4.093897898091744,2.0,4.093897898091744,6.22,19.154414634751962,-6008.8,100.0
20,97.04,4.5649096376598735,2.96,4.5649096376598735,4.48,13.672220009932548,-6018.64,100.0
25,95.68,6.0014664874512125,4.32,6.0014664874512125,2.74,1.0547037498748169,-6051.52,96.0
30,94.54,7.497226153718454,5.46,7.497226153718454,2.82,1.0332473082471592,-6060.44,92.0
35,89.66,13.835620694424954,10.34,13.835620694424952,3.26,1.0734989520255713,-6154.2,78.0
40,83.02,17.123656151651726,16.98,17.123656151651726,5.3,13.554703980537534,-6078.04,64.0
45,67.06,19.19000781656954,32.94,19.19000781656954,5.74,13.503792060010403,-6214.84,30.0
50,48.68,16.52687508272511,51.32,16.52687508272511,5.62,13.521671494308684,-6083.44,22.0
