noise_level,bit_accuracy_mean,bit_accuracy_std,hamming_distance_mean,hamming_distance_std,convergence_steps_mean,convergence_steps_std,energy_mean,accuracy_mean
0,85.86,11.634448848140595,14.14,11.634448848140595,2.76,0.5122499389946279,-12893.0,22.0
5,85.66,10.9573902002256,14.34,10.957390200225598,2.82,0.589576118919347,-12893.0,22.0
10,82.38,19.246703613865932,17.62,19.246703613865932,2.84,0.6740919818541087,-12895.0,20.0
15,84.0,15.556349186104045,16.0,15.556349186104045,2.96,0.72,-12894.0,20.0
20,81.2,19.574473172987314,18.8,19.574473172987314,3.04,0.6916646586316232,-12892.0,22.0
25,79.36,23.030206251790275,20.64,23.030206251790275,2.96,0.63118935352238,-12898.0,20.0
30,83.98,14.603410560550572,16.02,14.603410560550572,3.02,0.6779380502671317,-12901.0,22.0
35,72.06,29.007867898209962,27.94,29.007867898209962,3.2,0.7211102550927979,-12895.0,20.0
40,74.62,26.954695323820673,25.38,26.954695323820676,3.12,0.6209669878504009,-12895.0,22.0
45,71.16,29.095264219456745,28.84,29.095264219456745,5.22,13.553287424090145,-12650.88,22.0
50,51.12,36.19317062651461,48.88,36.19317062651461,3.32,0.6144916598294886,-12894.0,20.0
